FIGHTER_WIN;FIGHTER_LOSE;METHOD;METHOD_DESC;ROUND;TIME;EVENT_NAME;LOCATION
Yushin Okami;Dhiego Lima;U-DEC;;3;5:00;UFC Fight Night: Poirier vs. Gaethje;Glendale, Arizona, USA
Adam Wieczorek;Arjan Bhullar;SUB;Omoplata;2;1:59;UFC Fight Night: Poirier vs. Gaethje;Glendale, Arizona, USA
Alejandro Perez;Matthew Lopez;KO/TKO;Punches;2;3:42;UFC Fight Night: Poirier vs. Gaethje;Glendale, Arizona, USA
Luke Sanders;Patrick Williams;U-DEC;;3;5:00;UFC Fight Night: Poirier vs. Gaethje;Glendale, Arizona, USA
Khabib Nurmagomedov;Al Iaquinta;U-DEC;;5;5:00;UFC 223: Khabib vs. Iaquinta;Brooklyn, New York, USA
Rose Namajunas;Joanna Jedrzejczyk;U-DEC;;5;5:00;UFC 223: Khabib vs. Iaquinta;Brooklyn, New York, USA
Renato Moicano;Calvin Kattar;U-DEC;;3;5:00;UFC 223: Khabib vs. Iaquinta;Brooklyn, New York, USA
Zabit Magomedsharipov;Kyle Bochniak;U-DEC;;3;5:00;UFC 223: Khabib vs. Iaquinta;Brooklyn, New York, USA
Chris Gruetzemacher;Joe Lauzon;KO/TKO;;2;5:00;UFC 223: Khabib vs. Iaquinta;Brooklyn, New York, USA
Karolina Kowalkiewicz;Felice Herrig;S-DEC;;3;5:00;UFC 223: Khabib vs. Iaquinta;Brooklyn, New York, USA
Olivier Aubin-Mercier;Evan Dunham;KO/TKO;Knees;1;0:53;UFC 223: Khabib vs. Iaquinta;Brooklyn, New York, USA
Ashlee Evans-Smith;Bec Rawlings;U-DEC;;3;5:00;UFC 223: Khabib vs. Iaquinta;Brooklyn, New York, USA
Devin Clark;Mike Rodriguez;U-DEC;;3;5:00;UFC 223: Khabib vs. Iaquinta;Brooklyn, New York, USA
Alexander Volkov;Fabricio Werdum;KO/TKO;Punch;4;1:38;UFC Fight Night: Werdum vs. Volkov;London, England, United Kingdom
Jan Blachowicz;Jimi Manuwa;U-DEC;;3;5:00;UFC Fight Night: Werdum vs. Volkov;London, England, United Kingdom
Tom Duquesnoy;Terrion Ware;U-DEC;;3;5:00;UFC Fight Night: Werdum vs. Volkov;London, England, United Kingdom
Leon Edwards;Peter Sobotta;KO/TKO;Punch;3;4:59;UFC Fight Night: Werdum vs. Volkov;London, England, United Kingdom
Charles Byrd;John Phillips;SUB;Rear Naked Choke;1;3:58;UFC Fight Night: Werdum vs. Volkov;London, England, United Kingdom
Danny Roberts;Oliver Enkamp;KO/TKO;Punch;1;2:12;UFC Fight Night: Werdum vs. Volkov;London, England, United Kingdom
Danny Henry;Hakeem Dawodu;SUB;Guillotine Choke;1;0:39;UFC Fight Night: Werdum vs. Volkov;London, England, United Kingdom
Paul Craig;Magomed Ankalaev;SUB;Triangle Choke;3;4:59;UFC Fight Night: Werdum vs. Volkov;London, England, United Kingdom
Kajan Johnson;Stevie Ray;S-DEC;;3;5:00;UFC Fight Night: Werdum vs. Volkov;London, England, United Kingdom
Dmitry Sosnovskiy;Mark Godbeer;SUB;Rear Naked Choke;2;4:29;UFC Fight Night: Werdum vs. Volkov;London, England, United Kingdom
Cristiane Justino;Yana Kunitskaya;KO/TKO;Punches;1;3:25;UFC 222: Cyborg vs. Kunitskaya;Las Vegas, Nevada, USA
Brian Ortega;Frankie Edgar;KO/TKO;Punch;1;4:44;UFC 222: Cyborg vs. Kunitskaya;Las Vegas, Nevada, USA
Sean O'Malley;Andre Soukhamthath;U-DEC;;3;5:00;UFC 222: Cyborg vs. Kunitskaya;Las Vegas, Nevada, USA
Andrei Arlovski;Stefan Struve;U-DEC;;3;5:00;UFC 222: Cyborg vs. Kunitskaya;Las Vegas, Nevada, USA
Ketlen Vieira;Cat Zingano;S-DEC;;3;5:00;UFC 222: Cyborg vs. Kunitskaya;Las Vegas, Nevada, USA
Mackenzie Dern;Ashley Yoder;S-DEC;;3;5:00;UFC 222: Cyborg vs. Kunitskaya;Las Vegas, Nevada, USA
Alexander Hernandez;Beneil Dariush;KO/TKO;Punch;1;0:42;UFC 222: Cyborg vs. Kunitskaya;Las Vegas, Nevada, USA
John Dodson;Pedro Munhoz;S-DEC;;3;5:00;UFC 222: Cyborg vs. Kunitskaya;Las Vegas, Nevada, USA
CB Dollaway;Hector Lombard;DQ;;1;5:00;UFC 222: Cyborg vs. Kunitskaya;Las Vegas, Nevada, USA
Zak Ottow;Mike Pyle;KO/TKO;Punches;1;2:34;UFC 222: Cyborg vs. Kunitskaya;Las Vegas, Nevada, USA
Cody Stamann;Bryan Caraway;S-DEC;;3;5:00;UFC 222: Cyborg vs. Kunitskaya;Las Vegas, Nevada, USA
Jordan Johnson;Adam Milstead;S-DEC;;3;5:00;UFC 222: Cyborg vs. Kunitskaya;Las Vegas, Nevada, USA
Jeremy Stephens;Josh Emmett;KO/TKO;Punch;2;1:35;UFC Fight Night: Emmett vs. Stephens;Orlando, Florida, USA
Jessica Andrade;Tecia Torres;U-DEC;;3;5:00;UFC Fight Night: Emmett vs. Stephens;Orlando, Florida, USA
Ilir Latifi;Ovince Saint Preux;SUB;Guillotine Choke;1;3:48;UFC Fight Night: Emmett vs. Stephens;Orlando, Florida, USA
Max Griffin;Mike Perry;U-DEC;;3;5:00;UFC Fight Night: Emmett vs. Stephens;Orlando, Florida, USA
Brian Kelleher;Renan Barao;U-DEC;;3;5:00;UFC Fight Night: Emmett vs. Stephens;Orlando, Florida, USA
Marion Reneau;Sara McMann;SUB;Triangle Choke;2;3:40;UFC Fight Night: Emmett vs. Stephens;Orlando, Florida, USA
Angela Hill;Maryna Moroz;U-DEC;;3;5:00;UFC Fight Night: Emmett vs. Stephens;Orlando, Florida, USA
Alan Jouban;Ben Saunders;KO/TKO;Punch;2;2:38;UFC Fight Night: Emmett vs. Stephens;Orlando, Florida, USA
Sam Alvey;Marcin Prachnio;KO/TKO;Punch;1;4:23;UFC Fight Night: Emmett vs. Stephens;Orlando, Florida, USA
Rani Yahya;Russell Doane;SUB;Arm Triangle;3;2:32;UFC Fight Night: Emmett vs. Stephens;Orlando, Florida, USA
Alex Perez;Eric Shelton;U-DEC;;3;5:00;UFC Fight Night: Emmett vs. Stephens;Orlando, Florida, USA
Manny Bermudez;Albert Morales;SUB;Guillotine Choke;2;2:33;UFC Fight Night: Emmett vs. Stephens;Orlando, Florida, USA
Donald Cerrone;Yancy Medeiros;KO/TKO;Punch;1;4:58;UFC Fight Night: Cerrone vs. Medeiros;Austin, Texas, USA
Derrick Lewis;Marcin Tybura;KO/TKO;Punch;3;2:48;UFC Fight Night: Cerrone vs. Medeiros;Austin, Texas, USA
James Vick;Francisco Trinaldo;U-DEC;;3;5:00;UFC Fight Night: Cerrone vs. Medeiros;Austin, Texas, USA
Curtis Millender;Thiago Alves;KO/TKO;Knee;2;4:17;UFC Fight Night: Cerrone vs. Medeiros;Austin, Texas, USA
Brandon Davis;Steven Peterson;U-DEC;;3;5:00;UFC Fight Night: Cerrone vs. Medeiros;Austin, Texas, USA
Sage Northcutt;Thibault Gouti;U-DEC;;3;5:00;UFC Fight Night: Cerrone vs. Medeiros;Austin, Texas, USA
Diego Ferreira;Jared Gordon;KO/TKO;Punch;1;1:58;UFC Fight Night: Cerrone vs. Medeiros;Austin, Texas, USA
Geoff Neal;Brian Camozzi;SUB;Rear Naked Choke;1;2:48;UFC Fight Night: Cerrone vs. Medeiros;Austin, Texas, USA
Robert Sanchez;Joby Sanchez;SUB;Rear Naked Choke;1;1:50;UFC Fight Night: Cerrone vs. Medeiros;Austin, Texas, USA
Lucie Pudilova;Sarah Moras;U-DEC;;3;5:00;UFC Fight Night: Cerrone vs. Medeiros;Austin, Texas, USA
Alex Morono;Joshua Burkman;SUB;Guillotine Choke;1;2:12;UFC Fight Night: Cerrone vs. Medeiros;Austin, Texas, USA
Oskar Piechota;Tim Williams;KO/TKO;Punch;1;1:54;UFC Fight Night: Cerrone vs. Medeiros;Austin, Texas, USA
Yoel Romero;Luke Rockhold;KO/TKO;Punch;3;1:48;UFC 221: Romero vs. Rockhold;Perth, Western Australia, Australia
Curtis Blaydes;Mark Hunt;U-DEC;;3;5:00;UFC 221: Romero vs. Rockhold;Perth, Western Australia, Australia
Tai Tuivasa;Cyril Asker;KO/TKO;Elbow;1;2:18;UFC 221: Romero vs. Rockhold;Perth, Western Australia, Australia
Jake Matthews;Li Jingliang;U-DEC;;3;5:00;UFC 221: Romero vs. Rockhold;Perth, Western Australia, Australia
Tyson Pedro;Saparbeg Safarov;SUB;Kimura;1;3:54;UFC 221: Romero vs. Rockhold;Perth, Western Australia, Australia
Dong Hyun Ma;Damien Brown;S-DEC;;3;5:00;UFC 221: Romero vs. Rockhold;Perth, Western Australia, Australia
Israel Adesanya;Rob Wilkinson;KO/TKO;Punches;2;3:37;UFC 221: Romero vs. Rockhold;Perth, Western Australia, Australia
Alexander Volkanovski;Jeremy Kennedy;KO/TKO;Punches;2;4:57;UFC 221: Romero vs. Rockhold;Perth, Western Australia, Australia
Jussier Formiga;Ben Nguyen;SUB;Rear Naked Choke;3;1:43;UFC 221: Romero vs. Rockhold;Perth, Western Australia, Australia
Ross Pearson;Mizuto Hirota;U-DEC;;3;5:00;UFC 221: Romero vs. Rockhold;Perth, Western Australia, Australia
Jose Quinonez;Teruto Ishihara;U-DEC;;3;5:00;UFC 221: Romero vs. Rockhold;Perth, Western Australia, Australia
Luke Jumeau;Daichi Abe;U-DEC;;3;5:00;UFC 221: Romero vs. Rockhold;Perth, Western Australia, Australia
Lyoto Machida;Eryk Anders;S-DEC;;5;5:00;UFC Fight Night: Machida vs. Anders;Belem, Para, Brazil
Valentina Shevchenko;Priscila Cachoeira;SUB;Rear Naked Choke;2;4:25;UFC Fight Night: Machida vs. Anders;Belem, Para, Brazil
Michel Prazeres;Desmond Green;U-DEC;;3;5:00;UFC Fight Night: Machida vs. Anders;Belem, Para, Brazil
Timothy Johnson;Marcelo Golm;U-DEC;;3;5:00;UFC Fight Night: Machida vs. Anders;Belem, Para, Brazil
Douglas Silva de Andrade;Marlon Vera;U-DEC;;3;5:00;UFC Fight Night: Machida vs. Anders;Belem, Para, Brazil
Thiago Santos;Anthony Smith;KO/TKO;Kick;2;1:03;UFC Fight Night: Machida vs. Anders;Belem, Para, Brazil
Sergio Moraes;Tim Means;S-DEC;;3;5:00;UFC Fight Night: Machida vs. Anders;Belem, Para, Brazil
Alan Patrick;Damir Hadzovic;U-DEC;;3;5:00;UFC Fight Night: Machida vs. Anders;Belem, Para, Brazil
Polyana Viana;Maia Stevenson;SUB;Rear Naked Choke;1;3:50;UFC Fight Night: Machida vs. Anders;Belem, Para, Brazil
Iuri Alcantara;Joe Soto;KO/TKO;Punches;1;1:06;UFC Fight Night: Machida vs. Anders;Belem, Para, Brazil
Deiveson Figueiredo;Joseph Morales;KO/TKO;Punches;2;4:34;UFC Fight Night: Machida vs. Anders;Belem, Para, Brazil
Jacare Souza;Derek Brunson;KO/TKO;Kick;1;3:50;UFC Fight Night: Jacare vs. Brunson 2;Charlotte, North Carolina, USA
Andre Fili;Dennis Bermudez;S-DEC;;3;5:00;UFC Fight Night: Jacare vs. Brunson 2;Charlotte, North Carolina, USA
Gregor Gillespie;Jordan Rinaldi;KO/TKO;Punches;1;4:46;UFC Fight Night: Jacare vs. Brunson 2;Charlotte, North Carolina, USA
Drew Dober;Frank Camacho;U-DEC;;3;5:00;UFC Fight Night: Jacare vs. Brunson 2;Charlotte, North Carolina, USA
Bobby Green;Erik Koch;U-DEC;;3;5:00;UFC Fight Night: Jacare vs. Brunson 2;Charlotte, North Carolina, USA
Mirsad Bektic;Godofredo Pepey;KO/TKO;Punch;1;2:47;UFC Fight Night: Jacare vs. Brunson 2;Charlotte, North Carolina, USA
Katlyn Chookagian;Mara Romero Borella;U-DEC;;3;5:00;UFC Fight Night: Jacare vs. Brunson 2;Charlotte, North Carolina, USA
Randa Markos;Juliana Lima;U-DEC;;3;5:00;UFC Fight Night: Jacare vs. Brunson 2;Charlotte, North Carolina, USA
Ji Yeon Kim;Justine Kish;S-DEC;;3;5:00;UFC Fight Night: Jacare vs. Brunson 2;Charlotte, North Carolina, USA
Vinc Pichel;Joaquim Silva;U-DEC;;3;5:00;UFC Fight Night: Jacare vs. Brunson 2;Charlotte, North Carolina, USA
Niko Price;George Sullivan;SUB;Rear Naked Choke;2;4:21;UFC Fight Night: Jacare vs. Brunson 2;Charlotte, North Carolina, USA
Cory Sandhagen;Austin Arnett;KO/TKO;Punches;2;3:48;UFC Fight Night: Jacare vs. Brunson 2;Charlotte, North Carolina, USA
Stipe Miocic;Francis Ngannou;U-DEC;;5;5:00;UFC 220: Miocic vs. Ngannou;Boston, Massachusetts, USA
Daniel Cormier;Volkan Oezdemir;KO/TKO;Punches;2;2:00;UFC 220: Miocic vs. Ngannou;Boston, Massachusetts, USA
Calvin Kattar;Shane Burgos;KO/TKO;Punch;3;0:32;UFC 220: Miocic vs. Ngannou;Boston, Massachusetts, USA
Gian Villante;Francimar Barroso;S-DEC;;3;5:00;UFC 220: Miocic vs. Ngannou;Boston, Massachusetts, USA
Rob Font;Thomas Almeida;KO/TKO;Kick;2;2:24;UFC 220: Miocic vs. Ngannou;Boston, Massachusetts, USA
Kyle Bochniak;Brandon Davis;U-DEC;;3;5:00;UFC 220: Miocic vs. Ngannou;Boston, Massachusetts, USA
Abdul Razak Alhassan;Sabah Homasi;KO/TKO;Punch;1;3:47;UFC 220: Miocic vs. Ngannou;Boston, Massachusetts, USA
Dustin Ortiz;Alexandre Pantoja;U-DEC;;3;5:00;UFC 220: Miocic vs. Ngannou;Boston, Massachusetts, USA
Julio Arce;Dan Ige;U-DEC;;3;5:00;UFC 220: Miocic vs. Ngannou;Boston, Massachusetts, USA
Enrique Barzola;Matt Bessette;U-DEC;;3;5:00;UFC 220: Miocic vs. Ngannou;Boston, Massachusetts, USA
Islam Makhachev;Gleison Tibau;KO/TKO;Punch;1;0:57;UFC 220: Miocic vs. Ngannou;Boston, Massachusetts, USA
Jeremy Stephens;Dooho Choi;KO/TKO;Punch;2;2:36;UFC Fight Night: Stephens vs. Choi;St. Louis, Missouri, USA
Jessica-Rose Clark;Paige VanZant;U-DEC;;3;5:00;UFC Fight Night: Stephens vs. Choi;St. Louis, Missouri, USA
Kamaru Usman;Emil Meek;U-DEC;;3;5:00;UFC Fight Night: Stephens vs. Choi;St. Louis, Missouri, USA
Darren Elkins;Michael Johnson;SUB;Rear Naked Choke;2;2:22;UFC Fight Night: Stephens vs. Choi;St. Louis, Missouri, USA
James Krause;Alex White;U-DEC;;3;5:00;UFC Fight Night: Stephens vs. Choi;St. Louis, Missouri, USA
Marco Polo Reyes;Matt Frevola;KO/TKO;Punch;1;1:00;UFC Fight Night: Stephens vs. Choi;St. Louis, Missouri, USA
Irene Aldana;Talita Bernardo;U-DEC;;3;5:00;UFC Fight Night: Stephens vs. Choi;St. Louis, Missouri, USA
Kyung Ho Kang;Guido Cannetti;SUB;Triangle Choke;1;4:53;UFC Fight Night: Stephens vs. Choi;St. Louis, Missouri, USA
Jessica Eye;Kalindra Faria;S-DEC;;3;5:00;UFC Fight Night: Stephens vs. Choi;St. Louis, Missouri, USA
JJ Aldrich;Danielle Taylor;U-DEC;;3;5:00;UFC Fight Night: Stephens vs. Choi;St. Louis, Missouri, USA
Mads Burnell;Mike Santiago;U-DEC;;3;5:00;UFC Fight Night: Stephens vs. Choi;St. Louis, Missouri, USA
Cristiane Justino;Holly Holm;U-DEC;;5;5:00;UFC 219: Cyborg vs. Holm;Las Vegas, Nevada, USA
Khabib Nurmagomedov;Edson Barboza;U-DEC;;3;5:00;UFC 219: Cyborg vs. Holm;Las Vegas, Nevada, USA
Dan Hooker;Marc Diakiese;SUB;Guillotine Choke;3;0:42;UFC 219: Cyborg vs. Holm;Las Vegas, Nevada, USA
Carla Esparza;Cynthia Calvillo;U-DEC;;3;5:00;UFC 219: Cyborg vs. Holm;Las Vegas, Nevada, USA
Neil Magny;Carlos Condit;U-DEC;;3;5:00;UFC 219: Cyborg vs. Holm;Las Vegas, Nevada, USA
Khalil Rountree Jr.;Michal Oleksiejczuk;Overturned;;3;5:00;UFC 219: Cyborg vs. Holm;Las Vegas, Nevada, USA
Myles Jury;Rick Glenn;U-DEC;;3;5:00;UFC 219: Cyborg vs. Holm;Las Vegas, Nevada, USA
Marvin Vettori;Omari Akhmedov;M-DEC;;3;5:00;UFC 219: Cyborg vs. Holm;Las Vegas, Nevada, USA
Matheus Nicolau;Louis Smolka;U-DEC;;3;5:00;UFC 219: Cyborg vs. Holm;Las Vegas, Nevada, USA
Tim Elliott;Mark De La Rosa;SUB;Anaconda Choke;2;1:41;UFC 219: Cyborg vs. Holm;Las Vegas, Nevada, USA
Rafael Dos Anjos;Robbie Lawler;U-DEC;;5;5:00;UFC Fight Night: Lawler vs. Dos Anjos;Winnipeg, Manitoba, Canada
Josh Emmett;Ricardo Lamas;KO/TKO;Punch;1;4:33;UFC Fight Night: Lawler vs. Dos Anjos;Winnipeg, Manitoba, Canada
Santiago Ponzinibbio;Mike Perry;U-DEC;;3;5:00;UFC Fight Night: Lawler vs. Dos Anjos;Winnipeg, Manitoba, Canada
Glover Teixeira;Misha Cirkunov;KO/TKO;Punches;1;2:45;UFC Fight Night: Lawler vs. Dos Anjos;Winnipeg, Manitoba, Canada
Jan Blachowicz;Jared Cannonier;U-DEC;;3;5:00;UFC Fight Night: Lawler vs. Dos Anjos;Winnipeg, Manitoba, Canada
Julian Marquez;Darren Stewart;SUB;Guillotine Choke;2;2:42;UFC Fight Night: Lawler vs. Dos Anjos;Winnipeg, Manitoba, Canada
Chad Laprise;Galore Bofando;KO/TKO;Punches;1;4:10;UFC Fight Night: Lawler vs. Dos Anjos;Winnipeg, Manitoba, Canada
Nordine Taleb;Danny Roberts;KO/TKO;Kick;1;0:59;UFC Fight Night: Lawler vs. Dos Anjos;Winnipeg, Manitoba, Canada
John Makdessi;Abel Trujillo;U-DEC;;3;5:00;UFC Fight Night: Lawler vs. Dos Anjos;Winnipeg, Manitoba, Canada
Alessio Di Chirico;Oluwale Bamgbose;KO/TKO;Knee;2;2:14;UFC Fight Night: Lawler vs. Dos Anjos;Winnipeg, Manitoba, Canada
Jordan Mein;Erick Silva;U-DEC;;3;5:00;UFC Fight Night: Lawler vs. Dos Anjos;Winnipeg, Manitoba, Canada
Brian Ortega;Cub Swanson;SUB;Guillotine Choke;2;3:22;UFC Fight Night: Swanson vs. Ortega;Fresno, California, USA
Gabriel Benitez;Jason Knight;U-DEC;;3;5:00;UFC Fight Night: Swanson vs. Ortega;Fresno, California, USA
Marlon Moraes;Aljamain Sterling;KO/TKO;Knee;1;1:07;UFC Fight Night: Swanson vs. Ortega;Fresno, California, USA
Scott Holtzman;Darrell Horcher;U-DEC;;3;5:00;UFC Fight Night: Swanson vs. Ortega;Fresno, California, USA
Eryk Anders;Markus Perez;U-DEC;;3;5:00;UFC Fight Night: Swanson vs. Ortega;Fresno, California, USA
Benito Lopez;Albert Morales;U-DEC;;3;5:00;UFC Fight Night: Swanson vs. Ortega;Fresno, California, USA
Alexis Davis;Liz Carmouche;S-DEC;;3;5:00;UFC Fight Night: Swanson vs. Ortega;Fresno, California, USA
Andre Soukhamthath;Luke Sanders;KO/TKO;Punches;2;1:06;UFC Fight Night: Swanson vs. Ortega;Fresno, California, USA
Alex Perez;Carls John De Tomas;SUB;Anaconda Choke;2;1:54;UFC Fight Night: Swanson vs. Ortega;Fresno, California, USA
Frankie Saenz;Merab Dvalishvili;S-DEC;;3;5:00;UFC Fight Night: Swanson vs. Ortega;Fresno, California, USA
Alejandro Perez;Iuri Alcantara;U-DEC;;3;5:00;UFC Fight Night: Swanson vs. Ortega;Fresno, California, USA
Davi Ramos;Chris Gruetzemacher;SUB;Rear Naked Choke;3;0:50;UFC Fight Night: Swanson vs. Ortega;Fresno, California, USA
Trevin Giles;Antonio Braga Neto;KO/TKO;Punches;3;2:27;UFC Fight Night: Swanson vs. Ortega;Fresno, California, USA
Max Holloway;Jose Aldo;KO/TKO;Punches;3;4:51;UFC 218: Holloway vs. Aldo 2;Detroit, Michigan, USA
Francis Ngannou;Alistair Overeem;KO/TKO;Punch;1;1:42;UFC 218: Holloway vs. Aldo 2;Detroit, Michigan, USA
Henry Cejudo;Sergio Pettis;U-DEC;;3;5:00;UFC 218: Holloway vs. Aldo 2;Detroit, Michigan, USA
Eddie Alvarez;Justin Gaethje;KO/TKO;Knee;3;3:59;UFC 218: Holloway vs. Aldo 2;Detroit, Michigan, USA
Tecia Torres;Michelle Waterson;U-DEC;;3;5:00;UFC 218: Holloway vs. Aldo 2;Detroit, Michigan, USA
Paul Felder;Charles Oliveira;KO/TKO;Elbows;2;4:06;UFC 218: Holloway vs. Aldo 2;Detroit, Michigan, USA
Yancy Medeiros;Alex Oliveira;KO/TKO;Punches;3;2:02;UFC 218: Holloway vs. Aldo 2;Detroit, Michigan, USA
David Teymur;Drakkar Klose;U-DEC;;3;5:00;UFC 218: Holloway vs. Aldo 2;Detroit, Michigan, USA
Felice Herrig;Cortney Casey;S-DEC;;3;5:00;UFC 218: Holloway vs. Aldo 2;Detroit, Michigan, USA
Amanda Cooper;Angela Magana;KO/TKO;Punches;2;4:34;UFC 218: Holloway vs. Aldo 2;Detroit, Michigan, USA
Abdul Razak Alhassan;Sabah Homasi;KO/TKO;Punches;1;4:21;UFC 218: Holloway vs. Aldo 2;Detroit, Michigan, USA
Dominick Reyes;Jeremy Kimball;SUB;Rear Naked Choke;1;3:39;UFC 218: Holloway vs. Aldo 2;Detroit, Michigan, USA
Justin Willis;Allen Crowder;KO/TKO;Punch;1;2:33;UFC 218: Holloway vs. Aldo 2;Detroit, Michigan, USA
Nicco Montano;Roxanne Modafferi;U-DEC;;5;5:00;The Ultimate Fighter: A New World Champion Finale;Las Vegas, Nevada, USA
Sean O'Malley;Terrion Ware;U-DEC;;3;5:00;The Ultimate Fighter: A New World Champion Finale;Las Vegas, Nevada, USA
Lauren Murphy;Barb Honchak;S-DEC;;3;5:00;The Ultimate Fighter: A New World Champion Finale;Las Vegas, Nevada, USA
Gerald Meerschaert;Eric Spicely;KO/TKO;Kick;2;2:18;The Ultimate Fighter: A New World Champion Finale;Las Vegas, Nevada, USA
DeAnna Bennett;Melinda Fabian;M-DEC;;3;5:00;The Ultimate Fighter: A New World Champion Finale;Las Vegas, Nevada, USA
Brett Johns;Joe Soto;SUB;Other - Lock;1;0:30;The Ultimate Fighter: A New World Champion Finale;Las Vegas, Nevada, USA
Montana De La Rosa;Christina Marks;SUB;Armbar;1;2:00;The Ultimate Fighter: A New World Champion Finale;Las Vegas, Nevada, USA
Ryan Janes;Andrew Sanchez;KO/TKO;Punch;3;0:58;The Ultimate Fighter: A New World Champion Finale;Las Vegas, Nevada, USA
Rachael Ostovich;Karine Gevorgyan;SUB;Armbar;1;1:40;The Ultimate Fighter: A New World Champion Finale;Las Vegas, Nevada, USA
Shana Dobson;Ariel Beck;KO/TKO;Punch;2;2:53;The Ultimate Fighter: A New World Champion Finale;Las Vegas, Nevada, USA
Gillian Robertson;Emily Whitmire;SUB;Armbar;1;2:12;The Ultimate Fighter: A New World Champion Finale;Las Vegas, Nevada, USA
Kelvin Gastelum;Michael Bisping;KO/TKO;Punch;1;2:30;UFC Fight Night: Bisping vs. Gastelum;Shanghai, Hebei, China
Li Jingliang;Zak Ottow;KO/TKO;Punches;1;2:57;UFC Fight Night: Bisping vs. Gastelum;Shanghai, Hebei, China
Wang Guan;Alex Caceres;S-DEC;;3;5:00;UFC Fight Night: Bisping vs. Gastelum;Shanghai, Hebei, China
Alex Garcia;Muslim Salikhov;SUB;Rear Naked Choke;2;3:22;UFC Fight Night: Bisping vs. Gastelum;Shanghai, Hebei, China
Zabit Magomedsharipov;Sheymon Moraes;SUB;Anaconda Choke;3;4:30;UFC Fight Night: Bisping vs. Gastelum;Shanghai, Hebei, China
Song Kenan;Bobby Nash;KO/TKO;Punches;1;0:15;UFC Fight Night: Bisping vs. Gastelum;Shanghai, Hebei, China
Yan Xiaonan;Kailin Curran;U-DEC;;3;5:00;UFC Fight Night: Bisping vs. Gastelum;Shanghai, Hebei, China
Song Yadong;Bharat Kandare;SUB;Guillotine Choke;1;4:16;UFC Fight Night: Bisping vs. Gastelum;Shanghai, Hebei, China
Shamil Abdurakhimov;Chase Sherman;KO/TKO;Punches;1;1:24;UFC Fight Night: Bisping vs. Gastelum;Shanghai, Hebei, China
Gina Mazany;Wu Yanan;U-DEC;;3;5:00;UFC Fight Night: Bisping vs. Gastelum;Shanghai, Hebei, China
Rolando Dy;Wuliji Buren;U-DEC;;3;5:00;UFC Fight Night: Bisping vs. Gastelum;Shanghai, Hebei, China
Cyril Asker;Hu Yaozong;SUB;Rear Naked Choke;2;2:33;UFC Fight Night: Bisping vs. Gastelum;Shanghai, Hebei, China
Fabricio Werdum;Marcin Tybura;U-DEC;;5;5:00;UFC Fight Night: Werdum vs. Tybura;Sydney, New South Wales, Australia
Jessica-Rose Clark;Bec Rawlings;S-DEC;;3;5:00;UFC Fight Night: Werdum vs. Tybura;Sydney, New South Wales, Australia
Belal Muhammad;Tim Means;S-DEC;;3;5:00;UFC Fight Night: Werdum vs. Tybura;Sydney, New South Wales, Australia
Jake Matthews;Bojan Velickovic;S-DEC;;3;5:00;UFC Fight Night: Werdum vs. Tybura;Sydney, New South Wales, Australia
Elias Theodorou;Daniel Kelly;U-DEC;;3;5:00;UFC Fight Night: Werdum vs. Tybura;Sydney, New South Wales, Australia
Alexander Volkanovski;Shane Young;U-DEC;;3;5:00;UFC Fight Night: Werdum vs. Tybura;Sydney, New South Wales, Australia
Ryan Benoit;Ashkan Mokhtarian;KO/TKO;Kick;3;2:38;UFC Fight Night: Werdum vs. Tybura;Sydney, New South Wales, Australia
Nik Lentz;Will Brooks;SUB;Guillotine Choke;2;2:05;UFC Fight Night: Werdum vs. Tybura;Sydney, New South Wales, Australia
Tai Tuivasa;Rashad Coulter;KO/TKO;Flying Knee;1;4:35;UFC Fight Night: Werdum vs. Tybura;Sydney, New South Wales, Australia
Frank Camacho;Damien Brown;S-DEC;;3;5:00;UFC Fight Night: Werdum vs. Tybura;Sydney, New South Wales, Australia
Nadia Kassem;Alex Chambers;U-DEC;;3;5:00;UFC Fight Night: Werdum vs. Tybura;Sydney, New South Wales, Australia
Eric Shelton;Jenel Lausa;U-DEC;;3;5:00;UFC Fight Night: Werdum vs. Tybura;Sydney, New South Wales, Australia
Adam Wieczorek;Anthony Hamilton;U-DEC;;3;5:00;UFC Fight Night: Werdum vs. Tybura;Sydney, New South Wales, Australia
Dustin Poirier;Anthony Pettis;KO/TKO;;3;2:08;UFC Fight Night: Poirier vs. Pettis;Norfolk, Virginia, USA
Matt Brown;Diego Sanchez;KO/TKO;Elbow;1;3:44;UFC Fight Night: Poirier vs. Pettis;Norfolk, Virginia, USA
Andrei Arlovski;Junior Albini;U-DEC;;3;5:00;UFC Fight Night: Poirier vs. Pettis;Norfolk, Virginia, USA
Cezar Ferreira;Nate Marquardt;S-DEC;;3;5:00;UFC Fight Night: Poirier vs. Pettis;Norfolk, Virginia, USA
Raphael Assuncao;Matthew Lopez;KO/TKO;Punch;3;1:50;UFC Fight Night: Poirier vs. Pettis;Norfolk, Virginia, USA
Clay Guida;Joe Lauzon;KO/TKO;Punch;1;1:07;UFC Fight Night: Poirier vs. Pettis;Norfolk, Virginia, USA
Marlon Moraes;John Dodson;S-DEC;;3;5:00;UFC Fight Night: Poirier vs. Pettis;Norfolk, Virginia, USA
Tatiana Suarez;Viviane Pereira;U-DEC;;3;5:00;UFC Fight Night: Poirier vs. Pettis;Norfolk, Virginia, USA
