FIGHTER_WIN;FIGHTER_LOSE;METHOD;METHOD_DESC;ROUND;TIME;EVENT_NAME;LOCATION
Cory Sandhagen;Frankie Edgar;KO/TKO;Flying Knee;1;0:28;UFC Fight Night: Overeem vs. Volkov;Las Vegas, Nevada, USA
Clay Guida;Michael Johnson;U-DEC;;3;5:00;UFC Fight Night: Overeem vs. Volkov;Las Vegas, Nevada, USA
Alexandre Pantoja;Manel Kape;U-DEC;;3;5:00;UFC Fight Night: Overeem vs. Volkov;Las Vegas, Nevada, USA
Beneil Dariush;Diego Ferreira;S-DEC;;3;5:00;UFC Fight Night: Overeem vs. Volkov;Las Vegas, Nevada, USA
Danilo Marques;Mike Rodriguez;SUB;Rear Naked Choke;2;4:52;UFC Fight Night: Overeem vs. Volkov;Las Vegas, Nevada, USA
Devonte Smith;Justin Jaynes;KO/TKO;;2;3:38;UFC Fight Night: Overeem vs. Volkov;Las Vegas, Nevada, USA
Karol Rosa;Joselyne Edwards;U-DEC;;3;5:00;UFC Fight Night: Overeem vs. Volkov;Las Vegas, Nevada, USA
Lara Procopio;Molly McCann;U-DEC;;3;5:00;UFC Fight Night: Overeem vs. Volkov;Las Vegas, Nevada, USA
SeungWoo Choi;Youssef Zalal;U-DEC;;3;5:00;UFC Fight Night: Overeem vs. Volkov;Las Vegas, Nevada, USA
Timur Valiev;Martin Day;U-DEC;;3;5:00;UFC Fight Night: Overeem vs. Volkov;Las Vegas, Nevada, USA
Ode Osbourne;Jerome Rivera;KO/TKO;Punch;1;0:26;UFC Fight Night: Overeem vs. Volkov;Las Vegas, Nevada, USA
Dustin Poirier;Conor McGregor;KO/TKO;Punches;2;2:32;UFC 257: Poirier vs. McGregor;Abu Dhabi, Abu Dhabi, United Arab Emirates
Michael Chandler;Dan Hooker;KO/TKO;Punch;1;2:30;UFC 257: Poirier vs. McGregor;Abu Dhabi, Abu Dhabi, United Arab Emirates
Joanne Calderwood;Jessica Eye;U-DEC;;3;5:00;UFC 257: Poirier vs. McGregor;Abu Dhabi, Abu Dhabi, United Arab Emirates
Makhmud Muradov;Andrew Sanchez;KO/TKO;Punches;3;2:59;UFC 257: Poirier vs. McGregor;Abu Dhabi, Abu Dhabi, United Arab Emirates
Marina Rodriguez;Amanda Ribas;KO/TKO;Punch;2;0:54;UFC 257: Poirier vs. McGregor;Abu Dhabi, Abu Dhabi, United Arab Emirates
Arman Tsarukyan;Matt Frevola;U-DEC;;3;5:00;UFC 257: Poirier vs. McGregor;Abu Dhabi, Abu Dhabi, United Arab Emirates
Brad Tavares;Antonio Carlos Junior;U-DEC;;3;5:00;UFC 257: Poirier vs. McGregor;Abu Dhabi, Abu Dhabi, United Arab Emirates
Julianna Pena;Sara McMann;SUB;Rear Naked Choke;3;3:39;UFC 257: Poirier vs. McGregor;Abu Dhabi, Abu Dhabi, United Arab Emirates
Marcin Prachnio;Khalil Rountree Jr.;U-DEC;;3;5:00;UFC 257: Poirier vs. McGregor;Abu Dhabi, Abu Dhabi, United Arab Emirates
Movsar Evloev;Nik Lentz;S-DEC;;3;5:00;UFC 257: Poirier vs. McGregor;Abu Dhabi, Abu Dhabi, United Arab Emirates
Amir Albazi;Zhalgas Zhumagulov;U-DEC;;3;5:00;UFC 257: Poirier vs. McGregor;Abu Dhabi, Abu Dhabi, United Arab Emirates
Michael Chiesa;Neil Magny;U-DEC;;5;5:00;UFC Fight Night: Chiesa vs. Magny;Abu Dhabi, Abu Dhabi, United Arab Emirates
Warlley Alves;Mounir Lazzez;KO/TKO;Kick;1;2:35;UFC Fight Night: Chiesa vs. Magny;Abu Dhabi, Abu Dhabi, United Arab Emirates
Ike Villanueva;Vinicius Moreira;KO/TKO;Punch;2;0:39;UFC Fight Night: Chiesa vs. Magny;Abu Dhabi, Abu Dhabi, United Arab Emirates
Viviane Araujo;Roxanne Modafferi;U-DEC;;3;5:00;UFC Fight Night: Chiesa vs. Magny;Abu Dhabi, Abu Dhabi, United Arab Emirates
Matt Schnell;Tyson Nam;S-DEC;;3;5:00;UFC Fight Night: Chiesa vs. Magny;Abu Dhabi, Abu Dhabi, United Arab Emirates
Lerone Murphy;Douglas Silva de Andrade;U-DEC;;3;5:00;UFC Fight Night: Chiesa vs. Magny;Abu Dhabi, Abu Dhabi, United Arab Emirates
Omari Akhmedov;Tom Breese;SUB;Arm Triangle;2;1:41;UFC Fight Night: Chiesa vs. Magny;Abu Dhabi, Abu Dhabi, United Arab Emirates
Ricky Simon;Gaetano Pirrello;SUB;Arm Triangle;2;4:00;UFC Fight Night: Chiesa vs. Magny;Abu Dhabi, Abu Dhabi, United Arab Emirates
Su Mudaerji;Zarrukh Adashev;U-DEC;;3;5:00;UFC Fight Night: Chiesa vs. Magny;Abu Dhabi, Abu Dhabi, United Arab Emirates
Dalcha Lungiambula;Markus Perez;U-DEC;;3;5:00;UFC Fight Night: Chiesa vs. Magny;Abu Dhabi, Abu Dhabi, United Arab Emirates
Francisco Figueiredo;Jerome Rivera;U-DEC;;3;5:00;UFC Fight Night: Chiesa vs. Magny;Abu Dhabi, Abu Dhabi, United Arab Emirates
Mike Davis;Mason Jones;U-DEC;;3;5:00;UFC Fight Night: Chiesa vs. Magny;Abu Dhabi, Abu Dhabi, United Arab Emirates
Umar Nurmagomedov;Sergey Morozov;SUB;Rear Naked Choke;2;3:39;UFC Fight Night: Chiesa vs. Magny;Abu Dhabi, Abu Dhabi, United Arab Emirates
Manon Fiorot;Victoria Leonardo;KO/TKO;Punches;2;4:08;UFC Fight Night: Chiesa vs. Magny;Abu Dhabi, Abu Dhabi, United Arab Emirates
Max Holloway;Calvin Kattar;U-DEC;;5;5:00;UFC Fight Night: Holloway vs. Kattar;Abu Dhabi, Abu Dhabi, United Arab Emirates
Carlos Condit;Matt Brown;U-DEC;;3;5:00;UFC Fight Night: Holloway vs. Kattar;Abu Dhabi, Abu Dhabi, United Arab Emirates
Li Jingliang;Santiago Ponzinibbio;KO/TKO;Punch;1;4:25;UFC Fight Night: Holloway vs. Kattar;Abu Dhabi, Abu Dhabi, United Arab Emirates
Alessio Di Chirico;Joaquin Buckley;KO/TKO;Kick;1;2:12;UFC Fight Night: Holloway vs. Kattar;Abu Dhabi, Abu Dhabi, United Arab Emirates
Punahele Soriano;Dusko Todorovic;KO/TKO;Punch;1;4:48;UFC Fight Night: Holloway vs. Kattar;Abu Dhabi, Abu Dhabi, United Arab Emirates
Joselyne Edwards;Wu Yanan;U-DEC;;3;5:00;UFC Fight Night: Holloway vs. Kattar;Abu Dhabi, Abu Dhabi, United Arab Emirates
Carlos Felipe;Justin Tafa;S-DEC;;3;5:00;UFC Fight Night: Holloway vs. Kattar;Abu Dhabi, Abu Dhabi, United Arab Emirates
Ramazan Emeev;David Zawada;S-DEC;;3;5:00;UFC Fight Night: Holloway vs. Kattar;Abu Dhabi, Abu Dhabi, United Arab Emirates
Vanessa Melo;Sarah Moras;U-DEC;;3;5:00;UFC Fight Night: Holloway vs. Kattar;Abu Dhabi, Abu Dhabi, United Arab Emirates
Austin Lingo;Jacob Kilburn;U-DEC;;3;5:00;UFC Fight Night: Holloway vs. Kattar;Abu Dhabi, Abu Dhabi, United Arab Emirates
Stephen Thompson;Geoff Neal;U-DEC;;5;5:00;UFC Fight Night: Thompson vs. Neal;Las Vegas, Nevada, USA
Jose Aldo;Marlon Vera;U-DEC;;3;5:00;UFC Fight Night: Thompson vs. Neal;Las Vegas, Nevada, USA
Michel Pereira;Khaos Williams;U-DEC;;3;5:00;UFC Fight Night: Thompson vs. Neal;Las Vegas, Nevada, USA
Rob Font;Marlon Moraes;KO/TKO;Punches;1;3:47;UFC Fight Night: Thompson vs. Neal;Las Vegas, Nevada, USA
Marcin Tybura;Greg Hardy;KO/TKO;Punches;2;4:31;UFC Fight Night: Thompson vs. Neal;Las Vegas, Nevada, USA
Anthony Pettis;Alex Morono;U-DEC;;3;5:00;UFC Fight Night: Thompson vs. Neal;Las Vegas, Nevada, USA
Pannie Kianzad;Sijara Eubanks;U-DEC;;3;5:00;UFC Fight Night: Thompson vs. Neal;Las Vegas, Nevada, USA
Deron Winn;Antonio Arroyo;U-DEC;;3;5:00;UFC Fight Night: Thompson vs. Neal;Las Vegas, Nevada, USA
Taila Santos;Gillian Robertson;U-DEC;;3;5:00;UFC Fight Night: Thompson vs. Neal;Las Vegas, Nevada, USA
Tafon Nchukwi;Jamie Pickett;U-DEC;;3;5:00;UFC Fight Night: Thompson vs. Neal;Las Vegas, Nevada, USA
Jimmy Flick;Cody Durden;SUB;Triangle Choke;1;3:18;UFC Fight Night: Thompson vs. Neal;Las Vegas, Nevada, USA
Christos Giagos;Carlton Minus;U-DEC;;3;5:00;UFC Fight Night: Thompson vs. Neal;Las Vegas, Nevada, USA
Deiveson Figueiredo;Brandon Moreno;M-DEC;;5;5:00;UFC 256: Figueiredo vs. Moreno;Las Vegas, Nevada, USA
Charles Oliveira;Tony Ferguson;U-DEC;;3;5:00;UFC 256: Figueiredo vs. Moreno;Las Vegas, Nevada, USA
Mackenzie Dern;Virna Jandiroba;U-DEC;;3;5:00;UFC 256: Figueiredo vs. Moreno;Las Vegas, Nevada, USA
Kevin Holland;Jacare Souza;KO/TKO;Punch;1;1:45;UFC 256: Figueiredo vs. Moreno;Las Vegas, Nevada, USA
Ciryl Gane;Junior Dos Santos;KO/TKO;Elbow;2;2:34;UFC 256: Figueiredo vs. Moreno;Las Vegas, Nevada, USA
Cub Swanson;Daniel Pineda;KO/TKO;Punch;2;1:52;UFC 256: Figueiredo vs. Moreno;Las Vegas, Nevada, USA
Rafael Fiziev;Renato Moicano;KO/TKO;Punch;1;4:05;UFC 256: Figueiredo vs. Moreno;Las Vegas, Nevada, USA
Gavin Tucker;Billy Quarantillo;U-DEC;;3;5:00;UFC 256: Figueiredo vs. Moreno;Las Vegas, Nevada, USA
Tecia Torres;Sam Hughes;KO/TKO;;1;5:00;UFC 256: Figueiredo vs. Moreno;Las Vegas, Nevada, USA
Chase Hooper;Peter Barrett;SUB;Heel Hook;3;3:02;UFC 256: Figueiredo vs. Moreno;Las Vegas, Nevada, USA
Marvin Vettori;Jack Hermansson;U-DEC;;5;5:00;UFC Fight Night: Hermansson vs. Vettori;Las Vegas, Nevada, USA
Jamahal Hill;Ovince Saint Preux;KO/TKO;Punches;2;3:37;UFC Fight Night: Hermansson vs. Vettori;Las Vegas, Nevada, USA
Gabriel Benitez;Justin Jaynes;KO/TKO;Knee;1;4:06;UFC Fight Night: Hermansson vs. Vettori;Las Vegas, Nevada, USA
Roman Dolidze;John Allan;S-DEC;;3;5:00;UFC Fight Night: Hermansson vs. Vettori;Las Vegas, Nevada, USA
Jordan Leavitt;Matt Wiman;KO/TKO;Slam;1;0:22;UFC Fight Night: Hermansson vs. Vettori;Las Vegas, Nevada, USA
Louis Smolka;Jose Quinonez;KO/TKO;Punches;2;2:15;UFC Fight Night: Hermansson vs. Vettori;Las Vegas, Nevada, USA
Ilia Topuria;Damon Jackson;KO/TKO;Punch;1;2:38;UFC Fight Night: Hermansson vs. Vettori;Las Vegas, Nevada, USA
Jake Collier;Gian Villante;U-DEC;;3;5:00;UFC Fight Night: Hermansson vs. Vettori;Las Vegas, Nevada, USA
Anthony Smith;Devin Clark;SUB;Triangle Choke;1;2:34;UFC Fight Night: Smith vs. Clark;Las Vegas, Nevada, USA
Miguel Baeza;Takashi Sato;SUB;Arm Triangle;2;4:28;UFC Fight Night: Smith vs. Clark;Las Vegas, Nevada, USA
Parker Porter;Josh Parisian;U-DEC;;3;5:00;UFC Fight Night: Smith vs. Clark;Las Vegas, Nevada, USA
Bill Algeo;Spike Carlyle;U-DEC;;3;5:00;UFC Fight Night: Smith vs. Clark;Las Vegas, Nevada, USA
Norma Dumont;Ashlee Evans-Smith;U-DEC;;3;5:00;UFC Fight Night: Smith vs. Clark;Las Vegas, Nevada, USA
Jonathan Pearce;Kai Kamaka;KO/TKO;Punches;2;4:28;UFC Fight Night: Smith vs. Clark;Las Vegas, Nevada, USA
Anderson Dos Santos;Martin Day;SUB;Guillotine Choke;1;4:35;UFC Fight Night: Smith vs. Clark;Las Vegas, Nevada, USA
Gina Mazany;Rachael Ostovich;KO/TKO;Kick;3;4:10;UFC Fight Night: Smith vs. Clark;Las Vegas, Nevada, USA
Su Mudaerji;Malcolm Gordon;KO/TKO;Punches;1;0:44;UFC Fight Night: Smith vs. Clark;Las Vegas, Nevada, USA
Nate Maness;Luke Sanders;SUB;Rear Naked Choke;2;2:29;UFC Fight Night: Smith vs. Clark;Las Vegas, Nevada, USA
Deiveson Figueiredo;Alex Perez;SUB;Guillotine Choke;1;1:57;UFC 255: Figueiredo vs. Perez;Las Vegas, Nevada, USA
Valentina Shevchenko;Jennifer Maia;U-DEC;;5;5:00;UFC 255: Figueiredo vs. Perez;Las Vegas, Nevada, USA
Tim Means;Mike Perry;U-DEC;;3;5:00;UFC 255: Figueiredo vs. Perez;Las Vegas, Nevada, USA
Katlyn Chookagian;Cynthia Calvillo;U-DEC;;3;5:00;UFC 255: Figueiredo vs. Perez;Las Vegas, Nevada, USA
Paul Craig;Mauricio Rua;KO/TKO;Punches;2;3:36;UFC 255: Figueiredo vs. Perez;Las Vegas, Nevada, USA
Brandon Moreno;Brandon Royval;KO/TKO;Punches;1;4:59;UFC 255: Figueiredo vs. Perez;Las Vegas, Nevada, USA
Joaquin Buckley;Jordan Wright;KO/TKO;Punches;2;0:18;UFC 255: Figueiredo vs. Perez;Las Vegas, Nevada, USA
Antonina Shevchenko;Ariane Lipski;KO/TKO;Punches;2;4:33;UFC 255: Figueiredo vs. Perez;Las Vegas, Nevada, USA
Nicolas Dalby;Daniel Rodriguez;U-DEC;;3;5:00;UFC 255: Figueiredo vs. Perez;Las Vegas, Nevada, USA
Alan Jouban;Jared Gooden;U-DEC;;3;5:00;UFC 255: Figueiredo vs. Perez;Las Vegas, Nevada, USA
Kyle Daukaus;Dustin Stoltzfus;U-DEC;;3;5:00;UFC 255: Figueiredo vs. Perez;Las Vegas, Nevada, USA
Sasha Palatnikov;Louis Cosce;KO/TKO;Punches;3;2:47;UFC 255: Figueiredo vs. Perez;Las Vegas, Nevada, USA
Rafael Dos Anjos;Paul Felder;S-DEC;;5;5:00;UFC Fight Night: Felder vs. Dos Anjos;Las Vegas, Nevada, USA
Khaos Williams;Abdul Razak Alhassan;KO/TKO;Punch;1;0:30;UFC Fight Night: Felder vs. Dos Anjos;Las Vegas, Nevada, USA
Ashley Yoder;Miranda Granger;U-DEC;;3;5:00;UFC Fight Night: Felder vs. Dos Anjos;Las Vegas, Nevada, USA
Sean Strickland;Brendan Allen;KO/TKO;Punches;2;1:32;UFC Fight Night: Felder vs. Dos Anjos;Las Vegas, Nevada, USA
Cory McKenna;Kay Hansen;U-DEC;;3;5:00;UFC Fight Night: Felder vs. Dos Anjos;Las Vegas, Nevada, USA
Kanako Murata;Randa Markos;U-DEC;;3;5:00;UFC Fight Night: Felder vs. Dos Anjos;Las Vegas, Nevada, USA
Tony Gravely;Geraldo de Freitas;S-DEC;;3;5:00;UFC Fight Night: Felder vs. Dos Anjos;Las Vegas, Nevada, USA
Alex Morono;Rhys McKee;U-DEC;;3;5:00;UFC Fight Night: Felder vs. Dos Anjos;Las Vegas, Nevada, USA
Don'Tale Mayes;Roque Martinez;U-DEC;;3;5:00;UFC Fight Night: Felder vs. Dos Anjos;Las Vegas, Nevada, USA
Glover Teixeira;Thiago Santos;SUB;Rear Naked Choke;3;1:49;UFC Fight Night: Santos vs. Teixeira;Las Vegas, Nevada, USA
Andrei Arlovski;Tanner Boser;U-DEC;;3;5:00;UFC Fight Night: Santos vs. Teixeira;Las Vegas, Nevada, USA
Raoni Barcelos;Khalid Taha;U-DEC;;3;5:00;UFC Fight Night: Santos vs. Teixeira;Las Vegas, Nevada, USA
Giga Chikadze;Jamey Simmons;KO/TKO;Kick;1;3:51;UFC Fight Night: Santos vs. Teixeira;Las Vegas, Nevada, USA
Yan Xiaonan;Claudia Gadelha;U-DEC;;3;5:00;UFC Fight Night: Santos vs. Teixeira;Las Vegas, Nevada, USA
Trevin Giles;Bevon Lewis;KO/TKO;Punches;3;1:26;UFC Fight Night: Santos vs. Teixeira;Las Vegas, Nevada, USA
Alexandr Romanov;Marcos Rogerio de Lima;SUB;Forearm Choke;1;4:48;UFC Fight Night: Santos vs. Teixeira;Las Vegas, Nevada, USA
Darren Elkins;Eduardo Garagorri;SUB;Rear Naked Choke;3;2:22;UFC Fight Night: Santos vs. Teixeira;Las Vegas, Nevada, USA
Max Griffin;Ramiz Brahimaj;KO/TKO;Elbow;3;2:03;UFC Fight Night: Santos vs. Teixeira;Las Vegas, Nevada, USA
Gustavo Lopez;Anthony Birchak;SUB;Rear Naked Choke;1;2:43;UFC Fight Night: Santos vs. Teixeira;Las Vegas, Nevada, USA
Uriah Hall;Anderson Silva;KO/TKO;Punches;4;1:24;UFC Fight Night: Hall vs. Silva;Las Vegas, Nevada, USA
Bryce Mitchell;Andre Fili;U-DEC;;3;5:00;UFC Fight Night: Hall vs. Silva;Las Vegas, Nevada, USA
Greg Hardy;Maurice Greene;KO/TKO;Punches;2;1:12;UFC Fight Night: Hall vs. Silva;Las Vegas, Nevada, USA
Kevin Holland;Charlie Ontiveros;SUB;Injury;1;2:39;UFC Fight Night: Hall vs. Silva;Las Vegas, Nevada, USA
Thiago Moises;Bobby Green;U-DEC;;3;5:00;UFC Fight Night: Hall vs. Silva;Las Vegas, Nevada, USA
Alexander Hernandez;Chris Gruetzemacher;KO/TKO;Punches;1;1:46;UFC Fight Night: Hall vs. Silva;Las Vegas, Nevada, USA
Adrian Yanez;Victor Rodriguez;KO/TKO;Kick;1;2:46;UFC Fight Night: Hall vs. Silva;Las Vegas, Nevada, USA
Sean Strickland;Jack Marshman;U-DEC;;3;5:00;UFC Fight Night: Hall vs. Silva;Las Vegas, Nevada, USA
Jason Witt;Cole Williams;SUB;Arm Triangle;2;2:09;UFC Fight Night: Hall vs. Silva;Las Vegas, Nevada, USA
Dustin Jacoby;Justin Ledet;KO/TKO;Punch;1;2:38;UFC Fight Night: Hall vs. Silva;Las Vegas, Nevada, USA
Miles Johns;Kevin Natividad;KO/TKO;Punch;3;2:51;UFC Fight Night: Hall vs. Silva;Las Vegas, Nevada, USA
Khabib Nurmagomedov;Justin Gaethje;SUB;Triangle Choke;2;1:34;UFC 254: Khabib vs. Gaethje;Abu Dhabi, Abu Dhabi, United Arab Emirates
Robert Whittaker;Jared Cannonier;U-DEC;;3;5:00;UFC 254: Khabib vs. Gaethje;Abu Dhabi, Abu Dhabi, United Arab Emirates
Alexander Volkov;Walt Harris;KO/TKO;Kick;2;1:15;UFC 254: Khabib vs. Gaethje;Abu Dhabi, Abu Dhabi, United Arab Emirates
Phil Hawes;Jacob Malkoun;KO/TKO;Punches;1;0:18;UFC 254: Khabib vs. Gaethje;Abu Dhabi, Abu Dhabi, United Arab Emirates
Lauren Murphy;Liliya Shakirova;SUB;Rear Naked Choke;2;3:31;UFC 254: Khabib vs. Gaethje;Abu Dhabi, Abu Dhabi, United Arab Emirates
Magomed Ankalaev;Ion Cutelaba;KO/TKO;Punch;1;4:19;UFC 254: Khabib vs. Gaethje;Abu Dhabi, Abu Dhabi, United Arab Emirates
Tai Tuivasa;Stefan Struve;KO/TKO;Punches;1;4:59;UFC 254: Khabib vs. Gaethje;Abu Dhabi, Abu Dhabi, United Arab Emirates
Casey Kenney;Nathaniel Wood;U-DEC;;3;5:00;UFC 254: Khabib vs. Gaethje;Abu Dhabi, Abu Dhabi, United Arab Emirates
Shavkat Rakhmonov;Alex Oliveira;SUB;Guillotine Choke;1;4:40;UFC 254: Khabib vs. Gaethje;Abu Dhabi, Abu Dhabi, United Arab Emirates
Da-Un Jung;Sam Alvey;S-DEC;;3;5:00;UFC 254: Khabib vs. Gaethje;Abu Dhabi, Abu Dhabi, United Arab Emirates
Miranda Maverick;Liana Jojua;KO/TKO;;1;5:00;UFC 254: Khabib vs. Gaethje;Abu Dhabi, Abu Dhabi, United Arab Emirates
Joel Alvarez;Alexander Yakovlev;SUB;Armbar;1;3:00;UFC 254: Khabib vs. Gaethje;Abu Dhabi, Abu Dhabi, United Arab Emirates
Brian Ortega;Chan Sung Jung;U-DEC;;5;5:00;UFC Fight Night: Ortega vs. The Korean Zombie;Abu Dhabi, Abu Dhabi, United Arab Emirates
Jessica Andrade;Katlyn Chookagian;KO/TKO;Punch;1;4:55;UFC Fight Night: Ortega vs. The Korean Zombie;Abu Dhabi, Abu Dhabi, United Arab Emirates
Jimmy Crute;Modestas Bukauskas;KO/TKO;Punches;1;2:01;UFC Fight Night: Ortega vs. The Korean Zombie;Abu Dhabi, Abu Dhabi, United Arab Emirates
James Krause;Claudio Silva;U-DEC;;3;5:00;UFC Fight Night: Ortega vs. The Korean Zombie;Abu Dhabi, Abu Dhabi, United Arab Emirates
Jonathan Martinez;Thomas Almeida;U-DEC;;3;5:00;UFC Fight Night: Ortega vs. The Korean Zombie;Abu Dhabi, Abu Dhabi, United Arab Emirates
Guram Kutateladze;Mateusz Gamrot;S-DEC;;3;5:00;UFC Fight Night: Ortega vs. The Korean Zombie;Abu Dhabi, Abu Dhabi, United Arab Emirates
Gillian Robertson;Poliana Botelho;U-DEC;;3;5:00;UFC Fight Night: Ortega vs. The Korean Zombie;Abu Dhabi, Abu Dhabi, United Arab Emirates
Junyong Park;John Phillips;U-DEC;;3;5:00;UFC Fight Night: Ortega vs. The Korean Zombie;Abu Dhabi, Abu Dhabi, United Arab Emirates
